dataset,column
BTS Flight Data,YEAR
BTS Flight Data,MONTH
BTS Flight Data,DAY_OF_MONTH
BTS Flight Data,FL_DATE
BTS Flight Data,OP_UNIQUE_CARRIER
BTS Flight Data,OP_CARRIER_FL_NUM
BTS Flight Data,ORIGIN
BTS Flight Data,ORIGIN_CITY_NAME
BTS Flight Data,ORIGIN_STATE_NM
BTS Flight Data,DEST
BTS Flight Data,DEST_CITY_NAME
BTS Flight Data,DEST_STATE_NM
BTS Flight Data,DEP_DELAY
BTS Flight Data,ARR_DELAY
BTS Flight Data,DISTANCE
BTS Flight Data,CARRIER_DELAY
BTS Flight Data,WEATHER_DELAY
BTS Flight Data,NAS_DELAY
BTS Flight Data,LATE_AIRCRAFT_DELAY
NOAA Weather Data,STATION
NOAA Weather Data,NAME
NOAA Weather Data,LATITUDE
NOAA Weather Data,LONGITUDE
NOAA Weather Data,ELEVATION
NOAA Weather Data,DATE
NOAA Weather Data,SOURCE
NOAA Weather Data,REPORT_TYPE
NOAA Weather Data,CALL_SIGN
NOAA Weather Data,QUALITY_CONTROL
NOAA Weather Data,AA1
NOAA Weather Data,CIG
NOAA Weather Data,RH1
NOAA Weather Data,TMP
NOAA Weather Data,VIS
NOAA Weather Data,WND
