column,missing_count,dataset,missing_percent
YEAR,0,BTS Flight Data,0.0
MONTH,0,BTS Flight Data,0.0
DAY_OF_MONTH,0,BTS Flight Data,0.0
FL_DATE,0,BTS Flight Data,0.0
OP_UNIQUE_CARRIER,0,BTS Flight Data,0.0
OP_CARRIER_FL_NUM,0,BTS Flight Data,0.0
ORIGIN,0,BTS Flight Data,0.0
ORIGIN_CITY_NAME,0,BTS Flight Data,0.0
ORIGIN_STATE_NM,0,BTS Flight Data,0.0
DEST,0,BTS Flight Data,0.0
DEST_CITY_NAME,0,BTS Flight Data,0.0
DEST_STATE_NM,0,BTS Flight Data,0.0
DEP_DELAY,16355,BTS Flight Data,2.800585631480261
ARR_DELAY,18022,BTS Flight Data,3.086038168788582
DISTANCE,0,BTS Flight Data,0.0
CARRIER_DELAY,478763,BTS Flight Data,81.98207145731483
WEATHER_DELAY,478763,BTS Flight Data,81.98207145731483
NAS_DELAY,478763,BTS Flight Data,81.98207145731483
LATE_AIRCRAFT_DELAY,478763,BTS Flight Data,81.98207145731483
STATION,0,NOAA Weather Data,0.0
NAME,0,NOAA Weather Data,0.0
LATITUDE,0,NOAA Weather Data,0.0
LONGITUDE,0,NOAA Weather Data,0.0
ELEVATION,0,NOAA Weather Data,0.0
DATE,0,NOAA Weather Data,0.0
SOURCE,0,NOAA Weather Data,0.0
REPORT_TYPE,0,NOAA Weather Data,0.0
CALL_SIGN,0,NOAA Weather Data,0.0
QUALITY_CONTROL,0,NOAA Weather Data,0.0
AA1,26746,NOAA Weather Data,39.34855528747131
CIG,0,NOAA Weather Data,0.0
RH1,66519,NOAA Weather Data,97.86235508738893
TMP,0,NOAA Weather Data,0.0
VIS,0,NOAA Weather Data,0.0
WND,0,NOAA Weather Data,0.0
